HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24.651
HDFC Banking and PSU Debt Fund - IDCW Option	10.1641
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0342
	
	
	
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1889
HSBC Banking and PSU Debt Fund - Direct Growth	26.2957
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.3253
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3524
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.1137
HSBC Banking and PSU Debt Fund - Regular Growth	24.9314
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.5632
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3247
	
	
	
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	35.1303
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13.1386
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	33.6532
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11.1167
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
	
	
	
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2490.7875
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1064.4377
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1010.0098
